id,risk_log_id,keystroke_timing,created_at
113,113,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:38:13.086873+00
114,114,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:38:13.976535+00
115,115,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:38:14.967693+00
116,116,"""[140, 150, 140, 150, 230, 240, 230, 120, 110, 130]""",2026-06-09 19:38:15.978979+00
117,117,"""[142, 148, 143, 152, 228, 242, 235, 118, 112, 128]""",2026-06-09 19:38:21.088714+00
118,118,"""[142, 148, 143, 152, 228, 242, 235, 118, 112, 128]""",2026-06-09 19:38:21.996019+00
119,119,"""[142, 148, 143, 152, 228, 242, 235, 118, 112, 128]""",2026-06-09 19:38:22.818319+00
120,120,"""[142, 148, 143, 152, 228, 242, 235, 118, 112, 128]""",2026-06-09 19:38:23.815983+00
121,121,"""[142, 148, 143, 152, 228, 242, 235, 118, 112, 128]""",2026-06-09 19:38:24.612632+00
122,122,"""[142, 148, 143, 152, 228, 242, 235, 118, 112, 128]""",2026-06-09 19:38:25.423897+00
123,123,"""[142, 148, 143, 152, 228, 242, 235, 118, 112, 128]""",2026-06-09 19:38:26.322887+00
124,124,"""[142, 148, 143, 152, 228, 242, 235, 118, 112, 128]""",2026-06-09 19:38:27.227918+00
125,125,"""[142, 148, 143, 152, 228, 242, 235, 118, 112, 128]""",2026-06-09 19:38:28.246216+00
126,126,"""[142, 148, 143, 152, 228, 242, 235, 118, 112, 128]""",2026-06-09 19:38:29.321794+00
127,127,"""[138, 152, 139, 148, 232, 238, 228, 122, 108, 132]""",2026-06-09 19:38:33.527028+00
128,128,"""[138, 152, 139, 148, 232, 238, 228, 122, 108, 132]""",2026-06-09 19:38:34.478241+00
129,129,"""[138, 152, 139, 148, 232, 238, 228, 122, 108, 132]""",2026-06-09 19:38:35.27115+00
130,130,"""[138, 152, 139, 148, 232, 238, 228, 122, 108, 132]""",2026-06-09 19:38:36.097062+00
131,131,"""[138, 152, 139, 148, 232, 238, 228, 122, 108, 132]""",2026-06-09 19:38:36.968053+00
132,132,"""[138, 152, 139, 148, 232, 238, 228, 122, 108, 132]""",2026-06-09 19:38:37.728358+00
133,133,"""[138, 152, 139, 148, 232, 238, 228, 122, 108, 132]""",2026-06-09 19:38:38.510971+00
134,134,"""[138, 152, 139, 148, 232, 238, 228, 122, 108, 132]""",2026-06-09 19:38:39.935701+00
135,135,"""[138, 152, 139, 148, 232, 238, 228, 122, 108, 132]""",2026-06-09 19:38:40.863776+00
136,136,"""[138, 152, 139, 148, 232, 238, 228, 122, 108, 132]""",2026-06-09 19:38:41.798337+00
137,137,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:44:47.759873+00
138,138,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:44:57.462034+00
139,139,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:01.407954+00
140,140,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:02.413416+00
141,141,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:03.242435+00
142,142,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:04.530231+00
143,143,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:08.482201+00
144,144,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:10.023939+00
145,145,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:11.067393+00
146,146,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:11.974038+00
147,147,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:13.068085+00
148,148,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:15.885207+00
149,149,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:18.061181+00
150,150,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:20.64035+00
151,151,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:25.350882+00
152,152,"""[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]""",2026-06-09 19:45:26.407615+00
153,153,"""[150, 160, 150, 160, 250, 250, 250, 100, 100, 100]""",2026-06-09 19:48:47.587162+00
154,154,"""[150, 160, 150, 160, 250, 250, 250, 100, 100, 100]""",2026-06-09 19:49:03.047731+00
155,155,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:13.17547+00
156,156,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:27.180869+00
157,157,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:34.519886+00
158,158,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:35.762917+00
159,159,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:36.87265+00
160,160,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:41.184865+00
161,161,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:42.395955+00
162,162,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:43.590332+00
163,163,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:44.689892+00
164,164,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:45.801198+00
165,165,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:46.903178+00
166,166,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:48.073692+00
167,167,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:49.135873+00
168,168,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:50.046185+00
169,169,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:50:51.091755+00
170,170,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:51:23.912655+00
171,171,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:51:34.736968+00
172,172,"""[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]""",2026-06-09 19:51:50.12875+00
173,173,"""[9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999]""",2026-06-09 19:52:06.492245+00
174,174,"""[9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999]""",2026-06-09 19:52:25.979182+00
175,175,"""[9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999]""",2026-06-09 19:54:06.973011+00
176,176,"""[9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999, 9999, -9999]""",2026-06-09 20:09:24.899552+00
